cell_id,row,col,lon,lat,Post,D_i,deaths,dist_fence_km,dist_gap_km,Post_x_Di,Post_x_fence,Post_x_gap,sector,apprehensions,log_apprehensions
12_93,12,93,-111.086,31.35,0.0,-1.473208270078954,0,1.5475815324661426,1.5354789507509,-0.0,0.0,0.0,tucson,431012,12.973891210925675
12_93,12,93,-111.086,31.35,1.0,-1.473208270078954,1,1.5475815324661426,1.5354789507509,-1.473208270078954,1.5475815324661426,1.5354789507509,tucson,125527,11.740276153857035
12_94,12,94,-111.042,31.35,0.0,-2.6200738423733165,1,2.348753908728394,2.0096970106572014,-0.0,0.0,0.0,tucson,431012,12.973891210925675
12_94,12,94,-111.042,31.35,1.0,-2.6200738423733165,1,2.348753908728394,2.0096970106572014,-2.6200738423733165,2.348753908728394,2.0096970106572014,tucson,125527,11.740276153857035
12_95,12,95,-110.998,31.35,0.0,-2.9125585953053292,3,1.8943761188918549,5.057870940579187,-0.0,0.0,0.0,tucson,431012,12.973891210925675
12_95,12,95,-110.998,31.35,1.0,-2.9125585953053292,4,1.8943761188918549,5.057870940579187,-2.9125585953053292,1.8943761188918549,5.057870940579187,tucson,125527,11.740276153857035
12_96,12,96,-110.95400000000001,31.35,0.0,-3.571334599978719,6,1.9145544042978977,9.064307019454331,-0.0,0.0,0.0,tucson,431012,12.973891210925675
12_96,12,96,-110.95400000000001,31.35,1.0,-3.571334599978719,7,1.9145544042978977,9.064307019454331,-3.571334599978719,1.9145544042978977,9.064307019454331,tucson,125527,11.740276153857035
12_97,12,97,-110.91,31.35,0.0,-3.5643141692662152,5,1.8735860833937719,13.182478225066111,-0.0,0.0,0.0,tucson,431012,12.973891210925675
12_97,12,97,-110.91,31.35,1.0,-3.5643141692662152,6,1.8735860833937719,13.182478225066111,-3.5643141692662152,1.8735860833937719,13.182478225066111,tucson,125527,11.740276153857035
12_98,12,98,-110.866,31.35,0.0,-3.09671702031132,1,1.8016554898737993,10.77982993937617,-0.0,0.0,0.0,tucson,431012,12.973891210925675
12_98,12,98,-110.866,31.35,1.0,-3.09671702031132,0,1.8016554898737993,10.77982993937617,-3.09671702031132,1.8016554898737993,10.77982993937617,tucson,125527,11.740276153857035
12_100,12,100,-110.778,31.35,0.0,-2.8694063425537117,2,1.8232759728564998,2.9043468108856767,-0.0,0.0,0.0,tucson,431012,12.973891210925675
